num_epochs,learning_rate,lr_decay_factor,lr_decay_step,final_train_loss,final_valid_loss
250,0.001,0.1,100,1.4717110320925713,1.5956609547138214
250,0.001,0.1,250,1.4698259979486465,1.559364140033722
250,0.001,0.1,350,1.4708151705563068,1.6090770065784454
250,0.001,0.2,100,1.471736367791891,1.5828393995761871
250,0.001,0.2,250,1.4712244383990765,1.6239262223243713
250,0.001,0.2,350,1.469351701438427,1.5950798690319061
250,0.001,0.3,100,1.4775938652455807,1.6146155893802643
250,0.001,0.3,250,1.4703032746911049,1.6135087311267853
250,0.001,0.3,350,1.4679145440459251,1.574348121881485
250,0.001,1,100,1.468966443091631,1.580174595117569
250,0.001,1,250,1.4708352014422417,1.584303081035614
250,0.001,1,350,1.4749984182417393,1.7363556623458862
250,0.005,0.1,100,1.473790805786848,1.6628040075302124
250,0.005,0.1,250,1.47125880792737,1.6343375742435455
250,0.005,0.1,350,1.4736841544508934,1.5825489163398743
250,0.005,0.2,100,1.4726945608854294,1.6198336482048035
250,0.005,0.2,250,1.478464026004076,1.5784574151039124
250,0.005,0.2,350,1.4708524271845818,1.5686711370944977
250,0.005,0.3,100,1.4703805036842823,1.5938802659511566
250,0.005,0.3,250,1.472296103835106,1.6192468404769897
250,0.005,0.3,350,1.468861322849989,1.6474507451057434
250,0.005,1,100,1.4712700061500072,1.6414267420768738
250,0.005,1,250,1.4703848622739315,1.6575124263763428
250,0.005,1,350,1.4703225120902061,1.6382993459701538
250,0.01,0.1,100,1.4717383831739426,1.5846924185752869
250,0.01,0.1,250,1.4712363593280315,1.6305918991565704
250,0.01,0.1,350,1.471271701157093,1.6289528906345367
250,0.01,0.2,100,1.469885341823101,1.6435611248016357
250,0.01,0.2,250,1.469071052968502,1.6057384610176086
250,0.01,0.2,350,1.4749544747173786,1.6458615958690643
250,0.01,0.3,100,1.4703302532434464,1.647056668996811
250,0.01,0.3,250,1.472291398793459,1.5726827681064606
250,0.01,0.3,350,1.4726566784083843,1.5786025524139404
250,0.01,1,100,1.4709106869995594,1.5951175391674042
250,0.01,1,250,1.4718525297939777,1.6502379179000854
250,0.01,1,350,1.4706575833261013,1.6062204837799072
550,0.001,0.1,100,1.4723703786730766,1.6033144891262054
550,0.001,0.1,250,1.4694458320736885,1.6261343359947205
550,0.001,0.1,350,1.4716772176325321,1.6301687359809875
550,0.001,0.2,100,1.4726697504520416,1.59175643324852
550,0.001,0.2,250,1.4707837030291557,1.5941459834575653
550,0.001,0.2,350,1.47366913408041,1.645191252231598
550,0.001,0.3,100,1.4679452888667583,1.6228888928890228
550,0.001,0.3,250,1.472810011357069,1.5962677597999573
550,0.001,0.3,350,1.4693369641900063,1.593549132347107
550,0.001,1,100,1.4703870080411434,1.5755105018615723
550,0.001,1,250,1.4717513211071491,1.622229427099228
550,0.001,1,350,1.4692918807268143,1.6121538579463959
550,0.005,0.1,100,1.4718110971152782,1.6136823892593384
550,0.005,0.1,250,1.4679140746593475,1.6015435755252838
550,0.005,0.1,350,1.4699100516736507,1.5733881294727325
550,0.005,0.2,100,1.4707964733242989,1.6615606248378754
550,0.005,0.2,250,1.4717715345323086,1.601309984922409
550,0.005,0.2,350,1.4702664613723755,1.713165521621704
550,0.005,0.3,100,1.4689258448779583,1.595243215560913
550,0.005,0.3,250,1.4728492870926857,1.6719139516353607
550,0.005,0.3,350,1.4707955420017242,1.609842449426651
550,0.005,1,100,1.4746669717133045,1.6101017594337463
550,0.005,1,250,1.4684248007833958,1.6250713765621185
550,0.005,1,350,1.4708849526941776,1.605714350938797
550,0.01,0.1,100,1.4697209149599075,1.6512564718723297
550,0.01,0.1,250,1.4683874398469925,1.6779108345508575
550,0.01,0.1,350,1.4693701043725014,1.6545881628990173
550,0.01,0.2,100,1.4723456278443336,1.6976949870586395
550,0.01,0.2,250,1.473262544721365,1.6019132435321808
550,0.01,0.2,350,1.4718358777463436,1.567503422498703
550,0.01,0.3,100,1.4712768197059631,1.6191972494125366
550,0.01,0.3,250,1.46886732801795,1.586818903684616
550,0.01,0.3,350,1.470876943320036,1.6180396676063538
550,0.01,1,100,1.4693782329559326,1.6154823005199432
550,0.01,1,250,1.4708696343004704,1.6067318618297577
550,0.01,1,350,1.471845980733633,1.58746799826622
1100,0.001,0.1,100,1.4725460708141327,1.6556601822376251
1100,0.001,0.1,250,1.4650420993566513,1.627696692943573
1100,0.001,0.1,350,1.467446070164442,1.6376294195652008
1100,0.001,0.2,100,1.4689454659819603,1.6311066448688507
1100,0.001,0.2,250,1.4699136763811111,1.619035243988037
1100,0.001,0.2,350,1.4742776677012444,1.6240977048873901
1100,0.001,0.3,100,1.4727717004716396,1.6148978173732758
1100,0.001,0.3,250,1.467438131570816,1.6059278845787048
1100,0.001,0.3,350,1.466942459344864,1.577564299106598
1100,0.001,1,100,1.4689418002963066,1.6703818440437317
1100,0.001,1,250,1.468438409268856,1.6129305362701416
1100,0.001,1,350,1.4708181656897068,1.576794058084488
1100,0.005,0.1,100,1.4674892537295818,1.6267267167568207
1100,0.005,0.1,250,1.4693594574928284,1.5864270627498627
1100,0.005,0.1,350,1.4684596098959446,1.669492244720459
1100,0.005,0.2,100,1.4698984399437904,1.6044751107692719
1100,0.005,0.2,250,1.4703940227627754,1.5678859949111938
1100,0.005,0.2,350,1.4689062796533108,1.5930981636047363
1100,0.005,0.3,100,1.4684584997594357,1.6219183206558228
1100,0.005,0.3,250,1.4709164015948772,1.6136351227760315
1100,0.005,0.3,350,1.468815241008997,1.689404457807541
1100,0.005,1,100,1.4679430425167084,1.6198609471321106
1100,0.005,1,250,1.4684467017650604,1.6590577065944672
1100,0.005,1,350,1.4703585505485535,1.7341646254062653
1100,0.01,0.1,100,1.46502785384655,1.6120907068252563
1100,0.01,0.1,250,1.4689401648938656,1.6301564276218414
1100,0.01,0.1,350,1.468913059681654,1.625089019536972
1100,0.01,0.2,100,1.470353376120329,1.5789516866207123
1100,0.01,0.2,250,1.4713180623948574,1.627368152141571
1100,0.01,0.2,350,1.4694399870932102,1.5699474215507507
1100,0.01,0.3,100,1.4718591198325157,1.5924441516399384
1100,0.01,0.3,250,1.4679225981235504,1.6973755061626434
1100,0.01,0.3,350,1.4718441888689995,1.6040543615818024
1100,0.01,1,100,1.4669737406075,1.5924595892429352
1100,0.01,1,250,1.4679268263280392,1.6245709657669067
1100,0.01,1,350,1.468466904014349,1.6704773008823395
